,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,78,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4
35,AC/DC,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,74,0.668,0.906,11,-4.881,0,0.17,0.214,0.00229,0.135,0.507,135.653,231933,4
36,KISS,Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,76,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,4
37,Aerosmith,Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,74,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133,4
38,Bad Company,Feel Like Makin' Love - 2015 Remaster,3KPwt1LBpt1jVSHz8GXERo,70,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4
39,Led Zeppelin,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,77,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4
40,The Animals,House Of The Rising Sun,61Q9oJNd9hJQFhSDh6Qlap,61,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.89,269720,3
41,David Bowie,The Jean Genie - 2013 Remastered Version,3GGkKcUEC4xMxbJ9HEjWNg,18,0.583,0.612,9,-7.101,1,0.0311,0.355,8.55e-06,0.444,0.774,128.252,247450,4
42,Jimi Hendrix,Hey Joe,0NWPxcsf5vdjdiFUI8NgkP,71,0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160,4
43,Fleetwood Mac,Everywhere,6i8ecOsx4J2Px1maiqzqoG,28,0.69,0.54,4,-10.516,1,0.0317,0.218,0.00657,0.115,0.764,114.846,222733,4
44,The Doobie Brothers,China Grove,7cy1bEJV6FCtDaYpsk8aG6,68,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,195307,4
45,Buffalo Springfield,For What It's Worth,1qRA5BS78u3gME0loMl9AA,75,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4
46,Pink Floyd,"Another Brick in the Wall, Pt. 2",4gMgiXfqyzZLMhsksGmbQV,78,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,4
47,T. Rex,Bang a Gong (Get It On) - Remastered Version,6FsQrRpBLgsrFeAeiQqytm,63,0.729,0.818,2,-9.992,1,0.0732,0.157,0.285,0.195,0.907,125.811,267000,4
48,Guns N' Roses,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51,83,0.454,0.91,6,-7.766,1,0.0446,0.0852,0.0988,0.116,0.63,125.116,354520,4
49,Van Halen,Runnin' With The Devil,3gLlcZQMvpwgtV9THHXrGp,16,0.432,0.88,1,-5.769,0,0.0656,0.0206,0.000191,0.185,0.527,95.59,216733,4
50,Ted Nugent,Stranglehold,2f0P7iELCvAlV8j6Z3rGDE,68,0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,148.189,503067,4
51,Rush,Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,72,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,4
52,Jimi Hendrix,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,78,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4
53,Led Zeppelin,Good Times Bad Times - 1993 Remaster,0QwZfbw26QeUoIy82Z2jYp,72,0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61e-05,0.0818,0.753,93.584,166267,4
54,The Who,My Generation - Mono Version,45s88Xopo6KvHc0PQ05aGg,58,0.299,0.787,0,-7.93,0,0.069,0.14,0.0,0.292,0.716,94.798,198867,4
55,The Rolling Stones,Brown Sugar,5EcvzboYmDIfXo9gPplsSB,17,0.638,0.931,0,-3.605,1,0.0363,0.228,0.000295,0.0524,0.965,128.662,228667,4
56,Cream,White Room,5X76oXHcR5uCXali0gOyX5,19,0.55,0.576,0,-13.475,1,0.0306,0.178,0.00935,0.0555,0.486,109.837,303200,4
57,The Rolling Stones,Beast Of Burden - Remastered,0832Tptls5YicHPGgw7ssP,19,0.786,0.87,1,-3.875,0,0.0316,0.413,0.000494,0.0389,0.864,100.66,265173,4
58,The Yardbirds,Heart Full of Soul,0AiuEo7FCxP2y2WTOpLPe5,64,0.494,0.666,9,-9.743,0,0.0351,0.229,5.69e-05,0.0469,0.699,140.832,147893,4
59,The Who,Pinball Wizard,1zGk1kgAxCpg6PHjGuLe4J,18,0.543,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.468,124.011,180943,4
60,Creedence Clearwater Revival,Down On The Corner,4YMLW13PuuO7o3jkIWlKAs,21,0.831,0.544,0,-9.288,1,0.0837,0.594,0.00389,0.0736,0.856,108.177,166280,4
61,Van Morrison,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,80,0.491,0.583,7,-10.964,1,0.0376,0.182,0.0,0.407,0.907,150.572,183307,4
62,Kansas,Dust in the Wind,6zeE5tKyr8Nu882DQhhSQI,78,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,4
63,Stevie Nicks,Edge of Seventeen - 2016 Remaster,5LNiqEqpDc8TuqPy79kDBu,62,0.591,0.804,0,-7.299,1,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,329413,4
64,The Rolling Stones,Honky Tonk Women - Mono Version,3RZMzCvYsmJ0u2ioKTOsmJ,68,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387,4
65,Fleetwood Mac,Go Your Own Way,0FeCO85RKW8fDRytwXof2x,27,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,218400,4
66,The Kinks,You Really Got Me,1oG2vWELiGjIqxwqGcyqwF,17,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,4
67,The Beatles,Revolution - Remastered 2009,3UDmHZcBTQp8Iu8droNtUl,69,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293,4
68,Golden Earring,Radar Love,4Zau4QvgyxWiWQ5KQrwL43,65,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,386707,4
69,The Doobie Brothers,Black Water - 45 Version,3x1v32I3SZNvC7q7bDhcGm,63,0.543,0.307,2,-18.253,1,0.0414,0.334,0.0,0.044,0.649,168.169,258613,4
70,The Doors,Love Her Madly,3MFFDRC4wTN9JNGtzXsZlN,68,0.564,0.587,4,-7.393,0,0.0316,0.0573,0.00485,0.0416,0.966,147.462,198467,4
71,Lynyrd Skynyrd,Gimme Three Steps,0vSiz90JRxvYsbCTx84oVM,15,0.644,0.823,9,-8.092,1,0.0578,0.296,0.00115,0.126,0.917,133.39,270293,4
72,Boston,Foreplay / Long Time,5UYPZZDQfpCE7A0FDDqv4k,12,0.436,0.657,5,-8.868,1,0.0541,0.00975,0.00748,0.0931,0.21,118.693,467640,4
73,Fleetwood Mac,The Chain,2X6gdRlGOQgfaXU9ALUQFQ,22,0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,271000,4
74,Creedence Clearwater Revival,Fortunate Son,5e6x5YRnMJIKvYpZxLqdpH,17,0.636,0.746,0,-3.785,1,0.0393,0.0648,0.29,0.173,0.432,132.31,138053,4
75,The Guess Who,American Woman - Remastered,3LQPTJEqOfljGBxmpgUnoC,68,0.55,0.726,2,-8.51,1,0.0516,0.146,0.00608,0.428,0.37,92.697,307493,4
76,Free,All Right Now,7IhkWF9zpiYKlU7CxHxYT9,23,0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,332907,4
77,Joe Walsh,Rocky Mountain Way,7GNf8GN66LzBmENFQWxBKb,12,0.325,0.674,11,-14.169,0,0.0397,0.00608,0.172,0.917,0.696,83.18,460760,4
78,Kansas,Carry on Wayward Son,4DMKwE2E2iYDKY01C335Uw,76,0.483,0.786,7,-5.735,1,0.0319,0.00316,8.86e-05,0.446,0.793,126.748,323000,4
79,Heart,Crazy On You,5zH710lFSLtkHbMkslLDjR,66,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4
80,Led Zeppelin,D'yer Mak'er - Remastered,4ItljeeAXtHsnsnnQojaO2,66,0.525,0.929,9,-8.56,0,0.0784,0.262,2.9e-05,0.0754,0.556,163.503,262748,4
81,Joe Walsh,Life's Been Good,2wvMC5EyaaYQwBfiwwY2xE,70,0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,536227,4
82,Queen,Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J,75,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4
83,Blue Öyster Cult,(Don't Fear) The Reaper,6NTqBHONQqmud0ONBzsLfZ,8,0.368,0.928,9,-8.369,0,0.0593,0.00125,0.00111,0.301,0.532,141.175,308440,4
84,Steve Miller Band,The Joker,371VkfwKiXJxgH5ZPoQNHD,20,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4
85,ZZ Top,La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,75,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4
86,Aerosmith,Walk This Way,2vX5WL7s6UdeQyweZEx7PP,67,0.629,0.785,5,-10.761,1,0.0471,0.0249,9.45e-06,0.0522,0.869,108.531,211027,4
87,The Kinks,Strangers,3L6bCxrwKe1qnsqFzssR4R,42,0.464,0.432,0,-8.115,1,0.0326,0.161,1.52e-05,0.1,0.524,127.62,200053,4
88,The Moody Blues,Nights In White Satin - Single Version,3D1Xnj2Q7oh7Vz3RH9fDvC,61,0.21,0.346,4,-12.069,0,0.0299,0.252,0.336,0.247,0.22,79.026,265627,4
89,Bob Dylan,Knockin' On Heaven's Door - Remastered,6HSXNV0b4M4cLJ7ljgVVeh,74,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,149880,4
90,Cream,Sunshine Of Your Love,5y4761pjcksXs1hNsCmc4n,17,0.691,0.592,2,-8.089,1,0.0366,0.389,3.29e-05,0.124,0.736,115.152,250400,4
91,Guns N' Roses,Welcome To The Jungle,0eFvoRSTTaR2q8bSWVjwfp,15,0.456,0.978,10,-4.869,0,0.112,0.0301,0.499,0.313,0.327,123.411,271867,4
92,Big Brother & The Holding Company,Piece of My Heart,1xKQbqQtQWrtQS47fUJBtl,69,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333,4
93,Creedence Clearwater Revival,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,80,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
94,Steppenwolf,Born To Be Wild,63OFKbMaZSDZ4wtesuuq6f,74,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373,4
95,Eric Clapton,Cocaine,2udGjDmpK1dH9VGyw7nrei,71,0.699,0.502,9,-12.526,1,0.0278,0.0607,0.0337,0.317,0.676,105.266,221640,4
96,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,84,0.573,0.913,6,-4.793,0,0.132,0.0591,0.00173,0.156,0.422,115.715,208400,4
97,The Who,Behind Blue Eyes - Original Album Version,6Qg7cgN1oZ5mG5nZe9UG0X,17,0.399,0.518,7,-10.637,1,0.0318,0.229,0.00122,0.262,0.285,127.084,223333,4
98,The Doors,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,73,0.421,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839,145867,4
99,Steppenwolf,Magic Carpet Ride,6qnhXRedMi71TBYRc9jm4o,14,0.616,0.777,4,-12.179,0,0.0549,0.0215,0.075,0.0512,0.786,111.732,260240,4
