,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
27,Trey Songz,Slow Motion,4NYwy0R3NdvORX2B6OZXBT,74,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,197854,4
28,Rudimental,These Days,5CLGzJsGqhCEECcpnFQA8x,80,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,210773,4
29,Robin Schulz,Oh Child,77VLYTyrdlHEWcjhjQoXlz,64,0.727,0.598,8,-8.425,1,0.0515,0.0661,1.07e-05,0.0975,0.683,97.037,197627,4
30,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,85,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,4
31,The Weeknd,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,72,0.773,0.819,0,-5.946,0,0.118,0.426,0.0,0.0679,0.585,92.99,269187,4
32,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),0fgZUSa7D7aVvv3GfO0A1n,71,0.733,0.676,10,-5.655,0,0.0432,0.0697,0.0,0.208,0.701,97.448,226581,4
33,Camila Cabello,Never Be the Same,6VpQdig9pdpTSIFItgkJV5,69,0.643,0.709,0,-4.343,1,0.0733,0.145,0.000449,0.115,0.264,129.961,227088,4
34,Hardwell,Creatures Of The Night,7E12QRk94o3DBLzkySXFqn,55,0.388,0.759,5,-5.293,1,0.274,0.344,0.0,0.114,0.286,75.085,180800,4
35,HRVY,Personal,33KJ2xFYONOlIYDBg6wPx8,75,0.755,0.536,8,-5.605,1,0.12,0.114,0.0,0.0282,0.882,138.969,198040,4
36,GoldLink,Herside Story,564oa00vY05d1uYnTEAAmE,71,0.885,0.595,7,-5.487,1,0.286,0.656,4.42e-06,0.105,0.754,148.034,183760,4
37,Jeremih,Don't Tell 'Em,0Dc7J9VPV4eOInoxUiZrsL,73,0.856,0.527,2,-5.225,1,0.0997,0.392,0.0,0.11,0.386,98.052,266840,4
38,Sabrina Carpenter,Alien,0RUTnY2B3s05fZuCHsNaUP,64,0.72,0.659,10,-4.727,0,0.0403,0.0588,0.0,0.0662,0.567,105.955,174841,4
39,Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,82,0.62,0.574,5,-7.788,0,0.0479,0.57,0.0,0.19,0.352,100.021,250173,4
40,Liam Payne,Bedroom Floor,1OG4nxGMy72EklX2DwcN3Z,65,0.625,0.684,1,-7.147,1,0.0687,0.342,6.37e-05,0.107,0.217,119.932,188346,4
41,Clean Bandit,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,25,0.638,0.658,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.076,205748,4
42,T-Mass,Gave To Me,48uNF8nyBdWgobrPdJdIkK,34,0.459,0.77,2,-4.976,1,0.0954,0.000827,0.609,0.0864,0.106,150.023,212817,4
43,Madison Mars,Magneto,0lMQKBPmCDyLDmj0uoWuDe,0,0.623,0.975,4,-1.629,1,0.181,0.0504,9.68e-06,0.271,0.556,125.982,175000,4
44,David Guetta,Dirty Sexy Money (feat. Charli XCX & French Montana),0tPQPaOKM32WgMSbPCYyRH,66,0.721,0.873,1,-4.741,1,0.119,0.0789,0.0,0.0824,0.552,79.943,172687,4
45,HAIM,Want You Back,2wXhdaTnmkkFSOidKfnOxA,57,0.635,0.853,0,-3.926,1,0.048,0.121,0.0,0.371,0.372,112.964,232120,4
46,Tyron Hapi,I Like The Way,67BEhVyQPe661gMYUyEhLw,42,0.676,0.775,0,-6.369,0,0.168,0.0264,0.0,0.123,0.402,104.913,171000,4
47,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,76,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
48,AKMU,DINOSAUR,3UMjZ9bAT1AnpcWD4aKyP8,61,0.767,0.755,11,-3.938,0,0.03,0.303,3.62e-05,0.105,0.631,120.978,240572,4
49,Tory Lanez,Say It,2Gyc6e2cLxA5hoX1NOvYnU,73,0.546,0.529,11,-10.511,0,0.0583,0.0862,6.5e-06,0.124,0.247,107.331,237787,4
50,Ariana Grande,Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn,76,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,4
51,FRND,Erase - FRND x Lights Remix,7KuXfgqRQ8SZWG7yFAt117,32,0.683,0.533,6,-5.826,1,0.0383,0.0271,0.0,0.152,0.819,152.12,171513,4
52,Kygo,Remind Me to Forget,5sIx4BlfYGuZeSLF40N9GH,76,0.685,0.508,0,-6.4,1,0.0987,0.193,0.0,0.139,0.315,99.063,217287,4
53,Jorja Smith,On My Mind (Jorja Smith X Preditah),1OxL1FWSEd7QmJoWLRP2NO,72,0.71,0.662,10,-5.947,0,0.175,0.42,0.0,0.0723,0.755,130.037,181510,4
54,Jay Park,V,68vMDFui7uTbw9OQcyB0gD,47,0.83,0.569,10,-7.737,1,0.165,0.419,0.0,0.156,0.858,129.968,227041,4
55,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),2lYTJK94hb0fd1LQtb6Dhk,71,0.659,0.738,4,-5.072,0,0.0477,0.118,0.0,0.115,0.481,127.95,183750,4
56,Liam Payne,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,79,0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.023,204502,4
57,Madison Beer,Dead,5kApwSRDqF5CKclVLw1FBM,62,0.583,0.7,2,-4.969,0,0.211,0.4,0.0,0.183,0.553,103.072,194827,4
58,Martin Garrix,There for You,6jA8HL9i4QGzsj6fjoxp8Y,75,0.611,0.644,6,-7.607,0,0.0553,0.124,0.0,0.124,0.13,105.969,221904,4
59,Alan Walker,Faded,7gHs73wELdeycvS48JfIos,78,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,4
60,Cute Is What We Aim For,The Curse of Curves,6uzuW7L1t1UhnzbfXwtMtQ,62,0.534,0.792,5,-4.512,1,0.0677,0.39,0.0,0.191,0.477,145.881,203627,4
61,Sam Smith,Pray,59ljpSFcgtfWJKS3vqG27R,67,0.535,0.382,4,-9.465,0,0.0426,0.282,1.14e-05,0.0865,0.147,87.801,221596,3
62,Shawn Hook,Reminding Me,6n72bDAxbWOkWaJnlfQfIZ,59,0.569,0.564,9,-4.856,0,0.0429,0.0897,0.0,0.0816,0.254,132.794,209924,4
63,Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,77,0.706,0.855,10,-5.377,1,0.215,0.0911,0.0,0.347,0.293,107.184,201253,4
64,Bazzi,3:15,6pmZMP2ET1OJi5rKfLO8jD,76,0.651,0.654,1,-5.481,1,0.0466,0.385,0.0,0.181,0.539,141.975,167019,4
65,Bryce Vine,Drew Barrymore,0OgGn1ofaj55l2PcihQQGV,74,0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,191147,4
66,Quinn XCII,Flare Guns,7cM9Kqto11iJpY2RwgVJSq,73,0.812,0.472,1,-6.806,0,0.0603,0.26,0.0,0.285,0.457,92.951,240013,4
67,5 Seconds of Summer,Want You Back,7HB7Wj26nYVo8CquzM7yX3,53,0.612,0.868,0,-4.91,1,0.0448,0.00649,1e-06,0.193,0.601,98.016,173073,4
68,Jonas Blue,Perfect Strangers,5bZtRlMBU76vHuDOb1GM5u,49,0.739,0.833,1,-5.012,1,0.0463,0.35,0.0,0.266,0.699,117.99,195313,4
69,UVERworld,CORE PRIDE,6VQGwkK0U0YcLJcr348Wqz,60,0.468,0.97,2,-2.974,0,0.179,0.00629,0.0,0.253,0.499,92.732,257560,4
70,BTS,Save Me,54s6sdPuMjVtdB5d5KFzTC,73,0.614,0.823,1,-3.48,1,0.062,0.0269,0.0,0.0783,0.539,139.948,196506,4
71,Sam Feldt,Wishing Well (feat. Olivia Sebastianelli),7uqS1gGcgWD0wiiKttEmyp,58,0.698,0.653,9,-6.365,1,0.0521,0.424,0.0,0.321,0.381,100.976,186610,4
72,GOT7,딱 좋아(Just right),2zSwsJyjrP0G8wUm0eiSuw,2,0.76,0.781,11,-2.881,0,0.0641,0.233,0.0,0.106,0.736,95.97,222399,4
73,The Ready Set,Love Like Woe,4XRZbiVdsA5qv6f6qP70lS,57,0.697,0.775,10,-4.106,1,0.0636,0.139,0.0,0.0737,0.822,90.015,200453,4
74,Russ,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,80,0.716,0.729,5,-6.313,1,0.117,0.0991,0.0,0.0842,0.276,131.975,226693,4
75,M2M,Don't Say You Love Me,65i1UPsUtPlEVzewEZR6sY,58,0.627,0.723,1,-6.241,0,0.0341,0.0141,3.66e-05,0.118,0.596,97.555,225200,4
76,Lil Wayne,Love Me,7tGlzXJv6GD5e5qlu5YmDg,68,0.674,0.608,8,-6.628,0,0.0334,0.0119,0.0,0.103,0.464,124.952,253440,4
77,The Pussycat Dolls,I Hate This Part - Dave Audé Dance Hybrid Mix,27HViIHXNdgsxxPVRoeEgM,35,0.525,0.588,0,-7.082,1,0.0411,0.0068,1.05e-06,0.0421,0.746,115.018,213267,4
78,blackbear,do re mi (feat. Gucci Mane),53mrVsi49rLHIaKBiSvElG,67,0.746,0.647,8,-6.388,1,0.052,0.007,0.0,0.156,0.196,112.015,233705,3
79,Jesse McCartney,Beautiful Soul,1HwpWwa6bnqqRhK8agG4RS,74,0.66,0.666,9,-4.342,1,0.0472,0.0759,0.0,0.0268,0.933,89.975,214227,4
80,Muray,Velonica (第190〜214話 OP),7HW9APbjOrAlTtkrcO1vCw,34,0.442,0.94,7,-4.285,1,0.0715,0.00104,0.000148,0.119,0.626,137.02,280292,4
81,Jay Park,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],6jLsYKGOBRBRvdowIzuyUf,51,0.4,0.724,8,-6.064,1,0.253,0.375,0.0,0.0927,0.43,96.782,216786,4
82,miwa,chAngE,3yjodlYYO6D4JGV3RFiPTc,48,0.37,0.975,7,-0.994,1,0.166,0.0231,6.52e-06,0.199,0.557,164.799,249360,4
83,Yuya Matsushita,Naturally,7ESe0DYDE9Cotb8AI3RYfI,10,0.723,0.807,10,-6.074,1,0.0565,0.629,0.0,0.652,0.957,99.975,269045,4
84,The Ready Set,Airplanes,0zAKeolWqSoz97KN2HMe0k,0,0.738,0.801,6,-6.945,0,0.0454,0.188,0.0,0.126,0.712,110.041,157813,4
85,SID,Ranbu No Melody,0U25jsAlm62WFQWveREYIZ,47,0.532,0.967,4,-2.996,1,0.136,0.00192,2.49e-06,0.112,0.616,96.036,230587,4
86,Breathe Carolina,Down,743H2NCU4LvZ0gh014GUxK,0,0.599,0.942,11,-5.345,0,0.0374,0.00311,0.0,0.345,0.867,131.992,223667,4
87,DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,70,0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,288877,4
88,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
89,Quinn XCII,What The Hell Happened To Us (feat. Kailee Morgue),1a0e6ChMoWQRZPsfw0AZTk,48,0.695,0.679,11,-6.576,1,0.0651,0.316,0.0,0.068,0.79,95.997,217720,4
90,3OH!3,Double Vision,3o2ESAMet1zR1aASlzrIxO,52,0.581,0.888,0,-3.198,1,0.0587,0.0018,0.0,0.413,0.629,120.041,190707,4
91,Sage The Gemini,Gas Pedal,2ng5lhEsASy6jgbOLg877a,4,0.846,0.538,1,-8.059,1,0.0576,0.0272,0.0,0.123,0.441,97.536,208160,4
92,Hot Chelle Rae,Tonight Tonight,2i0AUcEnsDm3dsqLrFWUCq,75,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,200467,4
93,M2M,Mirror Mirror,2gX1J5hbHs1V7gkHsNglTv,54,0.696,0.685,1,-5.53,0,0.0246,0.218,0.0,0.0988,0.507,100.088,200427,4
94,SZA,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,78,0.795,0.594,0,-6.2,1,0.0747,0.111,0.0,0.162,0.409,135.002,275080,4
95,Kid Ink,Body Language (feat. Usher & Tinashe),1rN55j78K87LEfRKZsSFYm,1,0.882,0.53,5,-5.771,0,0.0379,0.0187,0.0,0.097,0.256,99.015,206280,4
96,Big Sean,I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA,76,0.824,0.733,1,-5.475,1,0.0613,0.0355,0.0,0.324,0.393,97.971,284387,4
97,Adam Lambert,If I Had You,0H1OyEooZ5SzBYYdJEzxoy,60,0.648,0.908,4,-4.251,0,0.108,0.0113,0.0,0.374,0.793,131.147,228240,4
98,All Time Low,No Idea,2GAQGe7eyi8dxV4UzX8y0t,0,0.497,0.818,1,-4.476,1,0.0396,0.00665,0.0,0.201,0.452,111.012,263253,4
99,Drake,Controlla,3O8NlPh2LByMU9lSRSHedm,74,0.611,0.468,10,-11.084,0,0.179,0.0781,0.0,0.101,0.349,92.092,245227,4
